lower,variants,is_proper,rep_word,rep_voca_id,merge_voca_ids,rep_meanings,extra_candidates
long,long#283 | Long#36162,,long,283,36162,오랫동안 / 장거리의 / 오랜 / 갈망하다 / 긴 / 오래,"[{""mid"": 98566, ""text"": ""열망하다.""}]"
lucrative,lucrative#6110 | lucrative#52269 | lucrative#52317,,lucrative,6110,"52269,52317",많은 돈이 되는 / 수완이 좋은 / 이득 / 수익성이 좋은 / 수익성 / 호황 / 유리한,"[{""mid"": 133887, ""text"": ""돈을 많이 버는""}]"
lure,lure#6757 | Lure#33015,,lure,6757,33015,유치하다 / 끌어들이다 / 유혹하다,"[{""mid"": 91913, ""text"": ""마음을 끄는 것""}, {""mid"": 91914, ""text"": ""미끼""}]"
luting,luting#51621 | luting#51659,,luting,51621,51659,합착,"[{""mid"": 23341, ""text"": ""접착""}]"
mac,mac#44927 | Mac#50087,Y,Mac,50087,44927,이름,"[{""mid"": 117384, ""text"": ""맥""}, {""mid"": 117385, ""text"": ""이봐""}]"
machiavellism,Machiavellism#33137 | machiavellism#46863,,machiavellism,46863,33137,마키아벨리주의,"[{""mid"": 92216, ""text"": ""권모술수주의""}]"
makeup,makeup#4422 | Makeup#48410,,makeup,4422,48410,구성,"[{""mid"": 124636, ""text"": ""화장하다""}]"
malalignment,malalignment#51610 | malalignment#51636,,malalignment,51610,51636,치아 맞물림 부조화,"[{""mid"": 131885, ""text"": ""이상 정렬""}]"
malcolm,malcolm#49648 | Malcolm#50133,Y,Malcolm,50133,49648,이름,"[{""mid"": 127103, ""text"": ""맬컴""}]"
manifest,manifest#6752 | Manifest#30099 | manifest#52428,,manifest,6752,"30099,52428",매니페스트 / 감정을 드러내다 / 분명하게 하다 / 승객 명단 / 명백히 하다 / 분명한 / 명백한 / 나타나다,"[{""mid"": 134162, ""text"": ""나타내다""}]"
manual,manual#2182 | manual#51980,,manual,2182,51980,육체 노동의 / 규정 / 매뉴얼 / 안내책자 / 수동의,"[{""mid"": 133473, ""text"": ""손으로 하는""}]"
mark,mark#245 | Mark#30322,Y,Mark,30322,245,① 마크 ② 기념하다 ③ 표시 ④ 기록 ⑤ 흔적 / 이름,"[{""mid"": 90795, ""text"": ""정정""}, {""mid"": 134501, ""text"": ""점수""}]"
martin,martin#10353 | Martin#50211,Y,Martin,50211,10353,이름,"[{""mid"": 34350, ""text"": ""마틴""}, {""mid"": 34351, ""text"": ""마르틴""}, {""mid"": 34352, ""text"": ""마르탱""}]"
mary,mary#18374 | Mary#50064,Y,Mary,50064,18374,이름,"[{""mid"": 56616, ""text"": ""메리""}, {""mid"": 56617, ""text"": ""마리아""}, {""mid"": 56618, ""text"": ""매리""}, {""mid"": 56619, ""text"": ""마리""}]"
mater,Mater#30018 | mater#30543,,mater,30543,30018,메이터 / 모교 / 출신학교,"[{""mid"": 85525, ""text"": ""① 엄마 ② 어머니 ③ 뇌막""}]"
matter-of-fact,matter-of-fact#39074 | MATTER-OF-FACT#40109,,matter-of-fact,39074,40109,현실적인,"[{""mid"": 106506, ""text"": ""실질적인""}]"
measuring,measuring#29183 | Measuring#47113,,measuring,29183,47113,계측용의,"[{""mid"": 121914, ""text"": ""측정""}]"
mechanism,mechanism#10025 | mechanism#52137,,mechanism,10025,52137,방법 / 수단 / 메커니즘 / 체계 / 기계 / 습관적 작용 / 장치,"[{""mid"": 133706, ""text"": ""기제""}, {""mid"": 133707, ""text"": ""구조""}]"
media,Media#27744 | media#51538,,media,51538,27744,미디어,"[{""mid"": 80789, ""text"": ""대중매체""}]"
meeting,meeting#1381 | Meeting#37700,Y,Meeting,37700,1381,음~~.,"[{""mid"": 4731, ""text"": ""회의""}, {""mid"": 4732, ""text"": ""만남""}, {""mid"": 4733, ""text"": ""집회""}, {""mid"": 4734, ""text"": ""미팅""}, {""mid"": 4735, ""text"": ""충족하는""}, {""mid"": 135129, ""text"": ""모임""}]"
memorable,memorable#8699 | memorable#52110,,memorable,8699,52110,중요한 / 기억할 만한 / 인상적인,"[{""mid"": 133668, ""text"": ""기억에 남는""}]"
mend,mend#2657 | Mend#29802,,mend,2657,29802,고치다 / 낫다 / 개선하다,"[{""mid"": 85208, ""text"": ""수리하다""}]"
merge,merge#504 | merge#52472,,merge,504,52472,합류하다 / 합병하다 / 통합하다 / 합쳐지다,"[{""mid"": 134247, ""text"": ""합치다""}]"
michael,michael#4100 | Michael#30166,Y,Michael,30166,4100,① 남자 이름 ② 대천사 미가엘 ③ 천사장 미가엘 / 이름,"[{""mid"": 15293, ""text"": ""대천사 미카엘""}, {""mid"": 15294, ""text"": ""천사장 미카엘""}]"
michelle,Michelle#50193 | michelle#50515,Y,Michelle,50193,50515,이름,"[{""mid"": 128597, ""text"": ""미셸""}, {""mid"": 128598, ""text"": ""미쉘""}, {""mid"": 128599, ""text"": ""미셀""}, {""mid"": 128600, ""text"": ""미첼""}, {""mid"": 128601, ""text"": ""미셜""}]"
microabrasion,microabrasion#51667 | microabrasion#51734,,microabrasion,51667,51734,미세 마모,"[{""mid"": 131973, ""text"": ""마이크로에브라전""}]"
mindful,mindful#11564 | Mindful#29823,,mindful,11564,29823,주의하는 / 염두에 두는 / 신경을 쓰는,"[{""mid"": 85229, ""text"": ""유념하는""}]"
miss,miss#108 | Miss#37458,,miss,108,37458,미스 / 실종되다 / 그리워하다 / 놓치다 / 빼먹다 / 그립다,"[{""mid"": 101284, ""text"": ""실수""}]"
mitigate,mitigate#6746 | Mitigate#33004,,mitigate,6746,33004,줄이다 / 감소 / 경감하다 / 저감 / 누그러뜨리다 / 경감 / 완화하다,"[{""mid"": 91880, ""text"": ""가볍게 하다""}, {""mid"": 91881, ""text"": ""완화시키다""}]"
modify,modify#1899 | modify#52410,,modify,1899,52410,변경하다 / 변형하다 / 조절하다,"[{""mid"": 134128, ""text"": ""수정하다""}, {""mid"": 134129, ""text"": ""바꾸다""}]"
mogul,mogul#14462 | Mogul#38460,,mogul,14462,38460,중요 인물 / 무굴인 / 거물,"[{""mid"": 103540, ""text"": ""실력자""}]"
molly,molly#35204 | Molly#50079,Y,Molly,50079,35204,이름,"[{""mid"": 96558, ""text"": ""대형 바다새의 총칭""}, {""mid"": 96559, ""text"": ""미국 남부산의 송사리 비슷한 난태생 담수어""}]"
moroccan,moroccan#9694 | Moroccan#36612,,moroccan,9694,36612,모로코 사람 / 모로코의 / 모로코인,"[{""mid"": 99525, ""text"": ""모로코 언어""}]"
motivated,motivated#10020 | motivated#52190 | motivated#52231 | motivated#52279,,motivated,10020,"52190,52231,52279",적극적인 자세가 있는 / …할 의욕이 있는 / 유발된,"[{""mid"": 133779, ""text"": ""동기 부여된""}]"
mouthguard,mouthguard#51688 | mouthguard#51720,,mouthguard,51688,51720,입안 보호대,"[{""mid"": 131959, ""text"": ""입보호대""}]"
mrs,mrs#5388 | Mrs#35027,,mrs,5388,35027,…부인 / 미세스,"[{""mid"": 108948, ""text"": ""여인의 성""}, {""mid"": 108949, ""text"": ""성명 앞에 붙이는 경칭(공경하는 뜻으로 부르는 칭호)""}]"
ms,ms#5340 | Ms#35026,,ms,5340,35026,…씨 / 다발성경화증 / 초속 미터 / 석사학위 / 부인,"[{""mid"": 108947, ""text"": ""결혼전 젊은 여자의 호칭""}]"
muslim,muslim#25725 | Muslim#33474,,muslim,25725,33474,이슬람교도 / 무슬림 / 이슬람교의,"[{""mid"": 108960, ""text"": ""회교도""}, {""mid"": 126028, ""text"": ""회교의""}]"
nancy,nancy#37438 | Nancy#50153,Y,Nancy,50153,37438,이름,"[{""mid"": 101265, ""text"": ""여자 같은 남자""}, {""mid"": 101266, ""text"": ""남성 동성애자""}]"
nonfiction,nonfiction#21912 | Nonfiction#48417,,nonfiction,21912,48417,논픽션 작품 / 논픽션 / 전기·역사·에세이 등,"[{""mid"": 124643, ""text"": ""소설.이야기""}]"
notion,notion#10172 | notion#52429,,notion,10172,52429,생각 / 개념,"[{""mid"": 134165, ""text"": ""관념""}]"
november,november#7920 | November#41023,,november,7920,41023,11월,"[{""mid"": 113442, ""text"": ""동짓달""}, {""mid"": 119339, ""text"": ""동지달""}]"
nutritious,nutritious#2713 | nutritious#51966 | nutritious#52057,,nutritious,2713,"51966,52057",양식 / 영양이 풍부한 / 영양가 있는 / 건강에 좋은 / 영양분이 풍부한,"[{""mid"": 133450, ""text"": ""영양가가 높은""}]"
obscure,obscure#6738 | obscure#52412,,obscure,6738,52412,불분명한 / 이해하기 어려운 / 희미한 / 흐릿한 / 불명확한,"[{""mid"": 134131, ""text"": ""모호한""}, {""mid"": 134132, ""text"": ""잘 알려지지 않은""}]"
occlusion,occlusion#51731 | occlusion#51738,,occlusion,51731,51738,교합,"[{""mid"": 131976, ""text"": ""교정학""}]"
october,october#7919 | October#35727,,october,7919,35727,10월,"[{""mid"": 119337, ""text"": ""상달""}]"
odontoplasty,odontoplasty#51702 | odontoplasty#51740,,odontoplasty,51702,51740,치과성형술,"[{""mid"": 131978, ""text"": ""군근관 치료""}]"
offend,offend#3157 | Offend#29826,,offend,3157,29826,불쾌하게 하다 / 성나게 하다 / 기분이 상하다 / 기분 상하게 하다 / 위반하다 / 해치다,"[{""mid"": 85232, ""text"": ""기분나쁘게하다""}]"
offensive,offensive#3496 | Offensive#36256,,offensive,3496,36256,불쾌한 / 모욕적인 / 공격,"[{""mid"": 98768, ""text"": ""불쾌하게만드는""}]"
ok,ok#2303 | OK#26946,,ok,2303,26946,알았어 / 됐어 / 괜찮은 / 예 / 좋은,"[{""mid"": 78855, ""text"": ""좋아""}, {""mid"": 112787, ""text"": ""오케이""}]"
once,once#3491 | Once#45601,,once,3491,45601,일단 / 옛날 / 언젠가 / 한 번 / 일단 ~하면 / 한때,"[{""mid"": 118797, ""text"": ""이전에""}]"
onlay,onlay#51710 | onlay#51733,,onlay,51710,51733,온레이,"[{""mid"": 131972, ""text"": ""안레이""}]"
origin,origin#4398 | Origin#29832,,origin,4398,29832,태생 / 원인 / 시작 / 기원 / 유래,"[{""mid"": 85238, ""text"": ""근원""}]"
ostensible,ostensible#10787 | Ostensible#34544,,ostensible,10787,34544,표면만의 / 표면상의 / 겉보기만의,"[{""mid"": 95263, ""text"": ""겉으로만 그럴 듯한""}]"
overdenture,overdenture#51755 | overdenture#51765,,overdenture,51755,51765,오버덴처,"[{""mid"": 131999, ""text"": ""부분 보철""}]"
overjet,overjet#51646 | overjet#51714,,overjet,51646,51714,앞치,"[{""mid"": 131953, ""text"": ""전치과잉""}]"
overlooker,Overlooker#40178 | overlooker#42962,,overlooker,42962,40178,반장 / 감독 / 감독자,"[{""mid"": 107465, ""text"": ""조장""}]"
paul,paul#30484 | Paul#50001,Y,Paul,50001,30484,이름,"[{""mid"": 86157, ""text"": ""폴""}, {""mid"": 86158, ""text"": ""바오로""}, {""mid"": 86159, ""text"": ""파울""}, {""mid"": 86160, ""text"": ""바울로""}]"
pentecost,pentecost#28252 | Pentecost#50393,Y,Pentecost,50393,28252,오순절,"[{""mid"": 81791, ""text"": ""성령 강림절""}, {""mid"": 81792, ""text"": ""부활절 뒤 7번째 일요일""}, {""mid"": 81793, ""text"": ""수확절""}]"
perceive,perceive#1715 | perceive#52219 | perceive#52261 | perceive#52309 | perceive#52473,,perceive,1715,"52219,52261,52309,52473",인상을 주다 / 인식하다 / 인지하다 / …로 생각하다,"[{""mid"": 134249, ""text"": ""이해하다""}]"
percentage,percentage#4403 | percentage#52096,,percentage,4403,52096,퍼센티지 / 포인트 / 비율 / 퍼센트 / 부분,"[{""mid"": 133652, ""text"": ""백분율""}]"
perceptual,perceptual#15843 | Perceptual#50352,,perceptual,15843,50352,지각의,"[{""mid"": 128307, ""text"": ""지각있는""}]"
perfect,perfect#1279 | Perfect#37495,,perfect,1279,37495,완벽한 / 최적의 / 이상적인 / 완전한 / 퍼펙트,"[{""mid"": 101329, ""text"": ""완료 시제""}]"
performance,performance#1013 | Performance#37347 | performance#52188 | performance#52229 | performance#52277,,performance,1013,"37347,52188,52229,52277",실적 / 성능 / 성과 / 공연 / 이행 / 수행,"[{""mid"": 101117, ""text"": ""연주""}]"
periapical,periapical#51715 | periapical#51746,,periapical,51715,51746,치주막,"[{""mid"": 131983, ""text"": ""뿌리 주위의""}]"
pericoronitis,pericoronitis#51747 | pericoronitis#51750,,pericoronitis,51747,51750,치주농양,"[{""mid"": 131987, ""text"": ""치근관 주위염""}]"
periodontist,periodontist#51701 | periodontist#51769,,periodontist,51701,51769,치주과 의사,"[{""mid"": 23204, ""text"": ""플라크""}]"
personnel,personnel#9364 | Personnel#27777,,personnel,9364,27777,요원 / 인원 / [자체가 복수형] 직원들 / 직원 / 인력 / 담당자들 / 사람들,"[{""mid"": 80822, ""text"": ""인사""}]"
persuade,persuade#1787 | Persuade#36172,,persuade,1787,36172,기대하다 / 하게 만들다 / 납득시키다 / 설득하다 / 종용하다,"[{""mid"": 98577, ""text"": ""석득하다. 설득하여~시키다""}]"
perturb,perturb#19322 | Perturb#32995,,perturb,19322,32995,혼란시키다 / …을 당황하게 하다 / 교란하다,"[{""mid"": 91854, ""text"": ""뒤흔들어놓다""}]"
pete,pete#34979 | Pete#50124,Y,Pete,50124,34979,이름,"[{""mid"": 96227, ""text"": ""금고""}]"
phil,phil#38487 | Phil#49956,Y,Phil,49956,38487,이름,"[{""mid"": 103574, ""text"": ""「…에 친화적인」 「…에 편드는」의 뜻""}, {""mid"": 103575, ""text"": ""「…을 좋아하는 사람」 「…에 친화력을 가진 물질」의 뜻""}]"
philistine,philistine#21166 | Philistine#38440,,philistine,21166,38440,속물 / 교양 없는 / 실리주의자,"[{""mid"": 103494, ""text"": ""필리스틴 사람""}]"
posture,posture#12217 | Posture#28025,,posture,12217,28025,자세 / 태도 / 배치하다 / 태세 / 몸의 위치,"[{""mid"": 81275, ""text"": ""포즈[명사""}, {""mid"": 81276, ""text"": ""타동사""}]"
potable,potable#17895 | Potable#36151,,potable,17895,36151,상수 / 마실수있는 / 식수,"[{""mid"": 98553, ""text"": ""마시기에적합한""}]"
precipitate,precipitate#12538 | precipitate#52165,,precipitate,12538,52165,…을 침전시키다 / 재촉하다 / 침전물,"[{""mid"": 133745, ""text"": ""촉발하다""}]"
predicament,predicament#3863 | predicament#52031,,predicament,3863,52031,어려움 / 곤란함 / 곤경,"[{""mid"": 133552, ""text"": ""궁지""}]"
predominate,predominate#20286 | predominate#52130,,predominate,20286,52130,우위를 차지하다 / 영향력을 가지다 / 우세하다,"[{""mid"": 133698, ""text"": ""지배적이다""}]"
profitable,profitable#2131 | Profitable#29811,,profitable,2131,29811,돈벌이가 되는 / 이윤을 내는 / 이익이 되는 / 도움이 되는 / 수익성이 좋은,"[{""mid"": 85217, ""text"": ""수익성있는""}]"
prophy,prophy#51650 | prophy#51753,,prophy,51650,51753,프로피,"[{""mid"": 80309, ""text"": ""스케일링""}]"
proprietary,proprietary#11053 | proprietary#52028,,proprietary,11053,52028,전매 / 소유주의 / 소유자의 / 전용 / 소유자,"[{""mid"": 133547, ""text"": ""등록 상표의""}]"
prospective,prospective#2146 | prospective#52377,,prospective,2146,52377,예기되는 / 장래의 / 예비의 / 가망있는 / 잠재적인 / 미래의,"[{""mid"": 134065, ""text"": ""유망한""}]"
prosperous,prosperous#12355 | Prosperous#29837,,prosperous,12355,29837,성공한 / 번영하는,"[{""mid"": 85243, ""text"": ""번창한""}]"
proteus,proteus#47353 | Proteus#49965,Y,Proteus,49965,47353,이름,"[{""mid"": 122396, ""text"": ""자유 자재로 변하는 모습과 예언력을 가진 해신""}, {""mid"": 122397, ""text"": ""프로테우스""}]"
protrusion,protrusion#20249 | protrusion#52122,,protrusion,20249,52122,튀어나옴 / 돌출 / 내밀기,"[{""mid"": 133686, ""text"": ""내묾""}]"
provoke,provoke#1454 | Provoke#36248,,provoke,1454,36248,도발하다 / 촉발시키다 / 자극하다 / 유발하다 / 일으키다,"[{""mid"": 98760, ""text"": ""성나게 하다""}]"
psychological,psychological#2399 | psychological#52152,,psychological,2399,52152,정신의 / 심리학의,"[{""mid"": 133725, ""text"": ""심리학적인""}]"
puritan,puritan#17855 | Puritan#34854,,puritan,17855,34854,퓨리턴 / 엄격주의자 / 청교도,"[{""mid"": 100770, ""text"": ""청도교""}]"
rachel,rachel#45753 | Rachel#50186,Y,Rachel,50186,45753,이름,"[{""mid"": 119058, ""text"": ""살빛""}, {""mid"": 119059, ""text"": ""라헬""}]"
radiograph,radiograph#51656 | radiograph#51778,,radiograph,51656,51778,방사선 사진,"[{""mid"": 132010, ""text"": ""씰러트""}]"
radiographic,radiographic#51648 | radiographic#51748,,radiographic,51648,51748,방사선학적인,"[{""mid"": 131985, ""text"": ""방사선상의""}]"
radiolucent,radiolucent#51654 | radiolucent#51736,,radiolucent,51654,51736,재배치,"[{""mid"": 131974, ""text"": ""투시성""}]"
randy,randy#27350 | Randy#49979,Y,Randy,49979,27350,이름,"[{""mid"": 79846, ""text"": ""난잡한""}, {""mid"": 79847, ""text"": ""떠들썩한""}]"
reap,reap#6363 | Reap#36149,,reap,6363,36149,이익을 얻다 / 거둬들이다,"[{""mid"": 98551, ""text"": ""수확하다. 베어들이다. 거두어들이다""}]"
recontouring,recontouring#51751 | recontouring#51777,,recontouring,51751,51777,재형성,"[{""mid"": 132009, ""text"": ""치주유지""}]"
redeemable,redeemable#2738 | Redeemable#45586,,redeemable,2738,45586,상환할 수 있는 / 환급 가능한 / 다시 사들일 수 있는,"[{""mid"": 118687, ""text"": ""보상이 가능한""}]"
refreshing,refreshing#3113 | Refreshing#29848,,refreshing,3113,29848,상쾌한 / 기운이 나게 하는 / 심신을 상쾌하게 하는 / 새롭게 하는,"[{""mid"": 85254, ""text"": ""기운나게하는""}]"
refundable,refundable#12941 | refundable#51994,,refundable,12941,51994,갚을 수 있는 / 반환할 수 있는,"[{""mid"": 133497, ""text"": ""환불 가능한""}]"
register,register#1672 | register#52120,,register,1672,52120,목록 / 등록기 / 신청하다 / 등록하다 / 기록하다,"[{""mid"": 133684, ""text"": ""인식하다""}]"
rehearse,rehearse#5931 | rehearse#51965 | rehearse#52056,,rehearse,5931,"51965,52056",…을 자세히 말하다 / 시연하다 / 연습하다,"[{""mid"": 133448, ""text"": ""리허설을 하다""}, {""mid"": 133449, ""text"": ""예행연습을 하다""}]"
relegate,relegate#4654 | Relegate#33011 | relegate#52034,Y,Relegate,33011,"4654,52034",위임하다 / 좌천시키다 / 보다 하위 리그로 강등시키다,"[{""mid"": 17027, ""text"": ""…을 내려앉히다""}, {""mid"": 17028, ""text"": ""이관하다""}, {""mid"": 130528, ""text"": ""격하시키다""}, {""mid"": 130529, ""text"": ""(덜 중요한 위치로) 밀쳐 버리다""}, {""mid"": 132715, ""text"": ""내려보내다""}, {""mid"": 133558, ""text"": ""(낮은 위치로) 밀쳐버리다""}]"
reluctance,reluctance#21074 | reluctance#52270 | reluctance#52318,,reluctance,21074,"52270,52318",꺼림 / 주저함,"[{""mid"": 133889, ""text"": ""내키지 않음""}]"
remineralization,remineralization#51641 | remineralization#51739,,remineralization,51641,51739,미네랄화,"[{""mid"": 131977, ""text"": ""재석회복""}]"
remit,remit#6716 | Remit#33009,,remit,6716,33009,보내다 / 면제하다 / 송금하다,"[{""mid"": 91895, ""text"": ""사건 기록의 이송""}, {""mid"": 91896, ""text"": ""검토 과제""}]"
remote,remote#764 | remote#52018,,remote,764,52018,희박한 / 리모컨 / 먼 / 외딴 / 원격의,"[{""mid"": 133531, ""text"": ""멀리 떨어진""}]"
render,render#1917 | render#52204 | render#52247 | render#52295,,render,1917,"52204,52247,52295",만들다,"[{""mid"": 133795, ""text"": ""(상태가 되게) 하다""}, {""mid"": 133854, ""text"": ""(어떤 상태가) 되게 하다""}]"
reorganize,reorganize#13032 | reorganize#51985,,reorganize,13032,51985,개편하다 / 재건하다 / 재편성하다,"[{""mid"": 133483, ""text"": ""개조하다""}]"
representational,representational#32038 | representational#52128,,representational,32038,52128,표상의 / 대표의 / 재현적인,"[{""mid"": 133695, ""text"": ""표현적인""}, {""mid"": 133696, ""text"": ""구체적 형상을 나타내는""}]"
restore,restore#1647 | Restore#29818 | restore#52397,,restore,1647,"29818,52397",재건하다 / 되찾다 / 회복하다 / 되돌리다 / 복원하다,"[{""mid"": 134103, ""text"": ""복구하다""}, {""mid"": 134104, ""text"": ""회복시키다""}]"
restrict,restrict#1650 | Restrict#29809 | restrict#52474,,restrict,1650,"29809,52474",통제 / 규제 / 제약 / 금지하다 / 제한하다,"[{""mid"": 134251, ""text"": ""한정하다""}]"
rex,rex#3240 | Rex#50173,Y,Rex,50173,3240,이름,"[{""mid"": 12254, ""text"": ""왕""}, {""mid"": 12255, ""text"": ""국왕""}, {""mid"": 12256, ""text"": ""짧은 털의 변이종""}]"
rhyme,rhyme#16269 | Rhyme#30466,,rhyme,16269,30466,랩 / 운문 / 운을 맞추다,"[{""mid"": 124632, ""text"": ""라임""}]"
rick,rick#12957 | Rick#50018,Y,Rick,50018,12957,이름,"[{""mid"": 41769, ""text"": ""건초의 가리""}, {""mid"": 41770, ""text"": ""쌓아올리다""}]"
robert,robert#43688 | Robert#49973,Y,Robert,49973,43688,이름,"[{""mid"": 114859, ""text"": ""로버트""}]"
roger,roger#26169 | Roger#50118,Y,Roger,50118,26169,이름,"[{""mid"": 76862, ""text"": ""로저""}, {""mid"": 76863, ""text"": ""알았다""}, {""mid"": 76864, ""text"": ""좋아""}]"
rose,rose#4963 | Rose#50019,Y,Rose,50019,4963,이름,"[{""mid"": 18042, ""text"": ""올랐다""}, {""mid"": 18043, ""text"": ""장미""}, {""mid"": 18044, ""text"": ""로즈""}]"
ross,ross#12956 | Ross#50013,Y,Ross,50013,12956,이름,"[{""mid"": 41766, ""text"": ""나무 껍질을 벗기다""}, {""mid"": 41767, ""text"": ""꺼칠꺼칠한 외피""}]"
russian,russian#1981 | Russian#36611,,russian,1981,36611,러시아인의 / 러시아어 / 러시아의,"[{""mid"": 99522, ""text"": ""러시아 사람""}, {""mid"": 99523, ""text"": ""러시아 언어""}]"
salaries,Salaries#27773 | salaries#49372,,salaries,49372,27773,급여,"[{""mid"": 80818, ""text"": ""봉급""}]"
sarah,sarah#32963 | Sarah#50248,Y,Sarah,50248,32963,이름,"[{""mid"": 91786, ""text"": ""사라""}, {""mid"": 91787, ""text"": ""세라""}, {""mid"": 91788, ""text"": ""새러""}, {""mid"": 91789, ""text"": ""새라""}]"
satisfied,satisfied#2373 | satisfied#52065,,satisfied,2373,52065,충족된 / 흔쾌한 / 만족한 / 납득한,"[{""mid"": 133607, ""text"": ""만족스러운""}]"
scant,scant#18485 | Scant#48561,Y,Scant,48561,18485,부족한 인색하게 굴다,"[{""mid"": 13748, ""text"": ""거의 없는""}, {""mid"": 56706, ""text"": ""줄이다""}, {""mid"": 56707, ""text"": ""빈약한""}]"
scholarship,scholarship#2750 | scholarship#51981 | scholarship#52077,,scholarship,2750,"51981,52077",장학금 / 학문,"[{""mid"": 133476, ""text"": ""학식""}]"
score,score#1295 | score#52143,,score,1295,52143,악보 / 점수 / 자국을 내다 / 득점하다,"[{""mid"": 133715, ""text"": ""배경음악""}]"
scott,scott#8688 | Scott#50192,Y,Scott,50192,8688,이름,"[{""mid"": 29612, ""text"": ""스콧""}]"
sequence,sequence#2779 | sequence#52416,,sequence,2779,52416,서열 / 연속 / 순서 / 배열,"[{""mid"": 134140, ""text"": ""차례""}]"
seth,seth#34863 | Seth#50220,Y,Seth,50220,34863,이름,"[{""mid"": 96002, ""text"": ""세스""}]"
sharon,sharon#18339 | Sharon#50070,Y,Sharon,50070,18339,이름,"[{""mid"": 56272, ""text"": ""샤론""}, {""mid"": 56273, ""text"": ""섀런""}, {""mid"": 56274, ""text"": ""셰론""}, {""mid"": 56275, ""text"": ""무궁화""}]"
shipment,shipment#11186 | Shipment#30433,,shipment,11186,30433,운반 / 배송 / 수송 / 출하 / 선적량,"[{""mid"": 86081, ""text"": ""① 선적 ② 발송 ③ 적재""}]"
shipping,shipping#24154 | Shipping#27769,,shipping,24154,27769,해운업 / 선박 톤수 / 선적,"[{""mid"": 80814, ""text"": ""운송""}]"
shout,shout#1763 | Shout#37453,,shout,1763,37453,외치다 / 큰 소리 / 소리지르다 / 고함치다 / 외침,"[{""mid"": 101279, ""text"": ""소리치다""}]"
shut,shut#1784 | Shut#48223,,shut,1784,48223,닫다 / 다물다 / 차단하다 / 막다 / 폐쇄하다,"[{""mid"": 124269, ""text"": ""가두다""}]"
silvery,silvery#23696 | Silvery#37352,,silvery,23696,37352,은백색의 / 은빛나는 / 은색,"[{""mid"": 101122, ""text"": ""맑은""}]"
simon,simon#45748 | Simon#50060,Y,Simon,50060,45748,이름,"[{""mid"": 119045, ""text"": ""끌려다니는 사람""}, {""mid"": 119046, ""text"": ""시몬""}]"
since,since#3254 | Since#45598,,since,3254,45598,그 후 / ~이래로 / …이래 / …때부터 / …이후,"[{""mid"": 118789, ""text"": ""\""~이래\""""}, {""mid"": 118790, ""text"": ""\""~때문에\""""}, {""mid"": 118791, ""text"": ""\""~이후\""""}, {""mid"": 118792, ""text"": ""\""~한 까닭에\""""}]"
so,so#3394 | So#37175,,so,3394,37175,그러니 / 따라서 / 그렇게 / 그렇다면 / 그래서,"[{""mid"": 100742, ""text"": ""그러므로""}]"
sora,sora#28957 | Sora#49386,,sora,28957,49386,쇠뜸부기의 일종,"[{""mid"": 126574, ""text"": ""소라""}]"
spartan,spartan#21953 | Spartan#43994,,spartan,21953,43994,스파르타인의 / 스파르타인 같은 기질의 사람 / 스파르타의,"[{""mid"": 115471, ""text"": ""삼가는""}, {""mid"": 115472, ""text"": ""절제하는""}]"
specifications,Specifications#27763 | specifications#30750,,specifications,30750,27763,설명서,"[{""mid"": 80808, ""text"": ""명세서""}]"
startle,startle#6869 | startle#52022,,startle,6869,52022,놀라다 / 깜짝 놀라다,"[{""mid"": 133537, ""text"": ""깜짝 놀라게 하다""}]"
stephen,stephen#31625 | Stephen#50115,Y,Stephen,50115,31625,이름,"[{""mid"": 88787, ""text"": ""스티븐""}]"
steve,steve#48593 | Steve#50179,Y,Steve,50179,48593,이름,"[{""mid"": 124876, ""text"": ""스티브""}]"
stimulate,stimulate#1452 | stimulate#52434,,stimulate,1452,52434,고무시키다 / 자극하다 / 촉진시키다,"[{""mid"": 134174, ""text"": ""격려하다""}]"
striking,striking#2105 | striking#52160,,striking,2105,52160,타격의 / 놀랄만한 / 두드러진 / 굉장히 매력적인 / 공격의 / 눈에 띄는 / 파업 중인,"[{""mid"": 133739, ""text"": ""놀라운""}]"
struggling,struggling#12570 | Struggling#30413,,struggling,12570,30413,노력하는 / 어려워하는 / 다투고 있는 / 힘든 / 고군분투하는 / 곤경을 겪고 있는 / 애쓰는,"[{""mid"": 86054, ""text"": ""① 기를 쓰는 ② 분투하는 ③ 몸부림치는""}]"
subcontractor,Subcontractor#28010 | subcontractor#28828,,subcontractor,28828,28010,하청업자 / 하청 회사,"[{""mid"": 81258, ""text"": ""하청업체""}]"
subgingival,subgingival#51662 | subgingival#51725,,subgingival,51662,51725,잇몸하,"[{""mid"": 131964, ""text"": ""잇몸 아래에""}]"
subject,subject#1560 | subject#52153,,subject,1560,52153,과목 / 주제 / 대상 / 국민 / 과제 / 주어,"[{""mid"": 133726, ""text"": ""피실험자""}]"
substance,substance#3376 | substance#51982 | substance#52078,,substance,3376,"51982,52078",물질 / 본질,"[{""mid"": 133477, ""text"": ""실체""}]"
sue,sue#1547 | Sue#50172,Y,Sue,50172,1547,이름,"[{""mid"": 6260, ""text"": ""고소하다""}]"
sunburn,sunburn#6661 | Sunburn#48409,,sunburn,6661,48409,볕에 타기 / 볕에 태우다 / 햇볕에 탐,"[{""mid"": 124635, ""text"": ""햇빛에 탐""}]"
